id;flow_name;flow_description;source;destination;transformation;l_set;c_et
1;Soft El Salvador Colon US Dollar;Fork;withdrawal zero tolerance;Synergistic;Towels invoice;2020-02-20T15:15:13;2020-02-20T09:08:41
2;North Carolina quantify;Money Market Account Handcrafted Wooden Sausages database;Small;capacitor program deposit;composite;2020-02-20T20:01:29;2020-02-21T01:51:00
3;Seamless Generic Plastic Mouse Inlet;Small Wooden Towels calculating;Cook Islands 24 hour relationships;Coordinator Islands District;Avon Turkmenistan;2020-02-20T18:41:50;2020-02-20T12:44:55
4;Response;Rustic;transmit Soft neural-net;killer;override;2020-02-20T06:11:36;2020-02-20T14:26:54
5;Bike;Electronics Product Auto Loan Account;Avon Mouse;Executive;invoice Forward port;2020-02-20T20:27:28;2020-02-20T23:56:25
6;Saint Helena Pound;Table;Small Metal Hat SMS Sports;copying Home Loan Account;Configuration cyan;2020-02-21T00:07:45;2020-02-20T14:10:29
7;impactful;online interface Cambridgeshire;CSS;bypass;Integration;2020-02-20T02:36:30;2020-02-21T02:17:09
8;Run;payment;Sports overriding Comoros;Gorgeous Plastic Mouse Avon;multi-byte e-markets;2020-02-20T15:45:45;2020-02-21T01:01:50
9;architectures Jewelery;Singapore Dollar;Handcrafted system;e-services Crossing wireless;synergy;2020-02-20T17:16:10;2020-02-20T09:38:03
10;Small;Awesome Wooden Ball;Cross-group payment;calculate connect;innovative;2020-02-20T17:37:49;2020-02-20T11:10:28
